Clupeiformes	gi|2491777301|gb|OQ846496.1|	73.53	170	34	11	1	166	1	163	9e-17	87.8
Gadiformes	gi|2491777301|gb|OQ846496.1|	76.07	163	37	2	1	162	1	162	8e-24	 112
Perciformes	gi|2491777301|gb|OQ846496.1|	78.66	164	21	14	1	150	1	164	3e-29	 129
Salmoniformes	gi|2491777301|gb|OQ846496.1|	76.33	169	37	3	1	168	1	167	6e-25	 114
Ovalentaria	gi|2491777301|gb|OQ846496.1|	78.53	163	34	1	1	162	1	163	2e-30	 133
Cypriniformes	gi|2491777301|gb|OQ846496.1|	73.03	178	36	12	1	175	1	169	5e-20	98.7
Pleuronectiformes	gi|2491777301|gb|OQ846496.1|	97.04	169	4	1	1	168	1	169	3e-74	 279
Argentiniformes	gi|2491777301|gb|OQ846496.1|	80.36	168	30	3	1	166	1	167	1e-33	 144
Chimaeriformes	gi|2491777301|gb|OQ846496.1|	84.00	50	7	1	3	52	3	51	7e-06	51.8
Scombriformes	gi|2491777301|gb|OQ846496.1|	98.82	169	2	0	1	169	1	169	9e-80	 297
